date,window_size,garch_model,distribution,arma_p,arma_q,forecast_mean,forecast_var,ci_lower,ci_upper,actual_return,in_ci,violation_type,dist_test_pvalue,aic,bic
2018-09-28,200,GJR-GARCH,t,1,1,0.05688797324896652,0.2593642044387609,-0.9412788018510628,1.0550547483489958,-0.0006870305000608937,True,none,,434.1776624779203,457.2307962509918
2018-10-01,200,GARCH,normal,1,1,0.10469309215018051,0.19756980331129817,-0.7664878670270675,0.9758740513274285,0.3634492540459443,True,none,,443.42748180406477,459.8940059276872
2018-10-01,200,GARCH,studentst,1,1,0.10226643186052072,0.21428385697338265,-0.8050166620538094,1.0095495257748508,0.3634492540459443,True,none,,438.5814356515093,458.3412645998563
2018-10-01,200,GARCH,t,1,1,0.10226643186052072,0.21428385697338265,-0.8050166620538094,1.0095495257748508,0.3634492540459443,True,none,,438.5814356515093,458.3412645998563
2018-10-01,200,EGARCH,normal,1,1,0.10750493015977515,0.19736958602178342,-0.7632344896209811,0.9782443499405313,0.3634492540459443,True,none,,450.8504328739507,467.31695699757313
2018-10-01,200,EGARCH,studentst,1,1,0.1083150397419767,0.2086914894480494,-0.7870506748931128,1.003680754377066,0.3634492540459443,True,none,,444.29063375027886,464.05046269862584
2018-10-01,200,EGARCH,t,1,1,0.1083150397419767,0.2086914894480494,-0.7870506748931128,1.003680754377066,0.3634492540459443,True,none,,444.29063375027886,464.05046269862584
2018-10-01,200,GJR-GARCH,normal,1,1,0.04372840185273188,0.230983709130668,-0.898245274465588,0.9857020781710517,0.3634492540459443,True,none,,432.9783670280941,452.7381959764411
2018-10-01,200,GJR-GARCH,studentst,1,1,0.05330251167452529,0.2374043615927876,-0.9016734455683111,1.0082784689173616,0.3634492540459443,True,none,,433.9121653382749,456.9652991113464
2018-10-01,200,GJR-GARCH,t,1,1,0.05330251167452529,0.2374043615927876,-0.9016734455683111,1.0082784689173616,0.3634492540459443,True,none,,433.9121653382749,456.9652991113464
2018-10-02,200,GARCH,normal,1,1,0.10548035829334645,0.18963920043269977,-0.7480365889617011,0.958997305548394,-0.039676882474820735,True,none,,442.6094716878997,459.07599581152215
2018-10-02,200,GARCH,studentst,1,1,0.09348807883163814,0.20724526672817567,-0.7987698199398197,0.9857459776030959,-0.039676882474820735,True,none,,437.662253116016,457.422082064363
2018-10-02,200,GARCH,t,1,1,0.09348807883163814,0.20724526672817567,-0.7987698199398197,0.9857459776030959,-0.039676882474820735,True,none,,437.662253116016,457.422082064363
2018-10-02,200,EGARCH,normal,1,1,0.1147876418970953,0.19203522836287518,-0.7441043314491326,0.9736796152433232,-0.039676882474820735,True,none,,449.81345461841113,466.27997874203356
2018-10-02,200,EGARCH,studentst,1,1,0.09721233668322413,0.20328311637364885,-0.7864752328184316,0.9808999061848799,-0.039676882474820735,True,none,,443.1456699090347,462.9054988573817
2018-10-02,200,EGARCH,t,1,1,0.09721233668322413,0.20328311637364885,-0.7864752328184316,0.9808999061848799,-0.039676882474820735,True,none,,443.1456699090347,462.9054988573817
2018-10-02,200,GJR-GARCH,normal,1,1,0.056036842723394126,0.21347150852109514,-0.8495248665903566,0.961598552037145,-0.039676882474820735,True,none,,432.3907348812286,452.15056382957556
2018-10-02,200,GJR-GARCH,studentst,1,1,0.061801846625334014,0.2206986129615887,-0.8589612246781656,0.9825649179288337,-0.039676882474820735,True,none,,433.2742678609935,456.327401634065
2018-10-02,200,GJR-GARCH,t,1,1,0.061801846625334014,0.2206986129615887,-0.8589612246781656,0.9825649179288337,-0.039676882474820735,True,none,,433.2742678609935,456.327401634065
2018-10-03,200,GARCH,normal,1,1,0.10285974640708649,0.16971568865261374,-0.7045780711273418,0.9102975639415148,0.07112666939033303,True,none,,440.47302001963794,456.9395441432604
2018-10-03,200,GARCH,studentst,1,1,0.10233019492444195,0.18834403522514304,-0.7482671571997878,0.9529275470486717,0.07112666939033303,True,none,,435.25322725150096,455.01305619984794
